DEPARTAMENTO	COBERTURA_NETA_MEDIA	DESERCION_MEDIA
Otros	59.7	2.95
Otros	36.3	8.49
Otros	35.3	2.99
Otros	48.5	8.04
Otros	38.9	3.21
Otros	27.3	9.74
Otros	32.2	1.68
Otros	26.4	2.44
Otros	20.3	8.64
Otros	18.1	3.81
Otros	31.7	4.37
Otros	21.7	4.63
Otros	24.7	5.87
Otros	26.7	2.29
Otros	23.9	1.05
Otros	29.8	2.11
Otros	42.2	3.56
Otros	41	4.09
Otros	45.2	2.45
Otros	21.7	1.05
Otros	32.5	3.87
Otros	12.3	2.63
Otros	20.6	1.74
Otros	14.1	2.48
Otros	53.5	2.18
Otros	15.5	1.87
Otros	30.5	5.6
Otros	44.6	2.99
Otros	22.5	2.93
Otros	49.8	1.36
Otros	29.3	6.61
Otros	29	2.93
Otros	48.3	2.07
Otros	35.3	1.98
Otros	44.8	5.97
Otros	18.4	2
Otros	55.9	3.27
Otros	17.8	1.24
Otros	31.8	6.12
Otros	24.1	8.97
Otros	47.7	1.93
Otros	54.4	5.35
Otros	40.2	2.48
Otros	41.5	8.35
Otros	48.4	2.61
Otros	49.6	2.45
Otros	32.4	0.71
Otros	33.5	9.01
Otros	30.1	10.85
Otros	39.3	3.24
Otros	87	2.07
Otros	30.6	1.18
Otros	35.9	3.7
Otros	47.3	1.83
Otros	20.3	8.33
Otros	42.5	1.83
Otros	54.4	4.26
Otros	47.2	1.48
Otros	52.8	2.29
Otros	51.7	2.25
Otros	33.9	1.66
Otros	43.7	9.47
Otros	55.3	3.54
Otros	36.2	5.45
Otros	16.7	2.23
Otros	11.1	4.65
Otros	21.9	7.82
Otros	19.4	4.05
Otros	41.9	2.13
Otros	56.5	1.94
Otros	12.7	12.9
Otros	26.4	1.14
Otros	38.3	2.75
Otros	29.1	8.14
Otros	28.7	1.21
Otros	26.8	1.6
Otros	59.4	1.04
Otros	62	3.41
Otros	71.8	4.24
Otros	18.2	2.71
Otros	31.9	1.01
Otros	31.9	3.78
Otros	42.9	0.29
Otros	20.4	4.35
Otros	39.5	3.38
Otros	53.4	7.12
Otros	28.2	9.75
Otros	37.6	2.73
Otros	37.7	2.93
Otros	56.6	5.87
Otros	44.9	3.51
Otros	43.5	0.97
Otros	44.3	2.33
Otros	59.6	1.55
Otros	23.5	0.81
Otros	35.2	7.51
Otros	49.1	1.79
Otros	37.2	1.3
Otros	14.6	4.02
Otros	24	0.7
Otros	24.1	1.38
Otros	16.7	3.73
Otros	20.5	1.48
Otros	8.6	2.63
Otros	37.8	1.32
Otros	37.3	6.02
Otros	43.4	3.96
Otros	16.6	5.05
Otros	31.2	5.3
Otros	28.7	3.11
Otros	20.2	1.98
Otros	61.5	2.58
